"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"13","Aaron Rodgers",GB,"0 out of 5 stars","0 out of 5 stars","270.0","-4"
"43","Andy Dalton",NO,"0 out of 5 stars","0 out of 5 stars","15.0","-"
"26","Baker Mayfield",CAR,"0 out of 5 stars","0 out of 5 stars","207.0","-3"
"50","Brian Hoyer",NE,"0 out of 5 stars","0 out of 5 stars","11.2","-"
"17","Carson Wentz",WAS,"0 out of 5 stars","0 out of 5 stars","243.0","+7"
"46","Case Keenum",BUF,"0 out of 5 stars","0 out of 5 stars","12.0","-"
"49","Colt McCoy",ARI,"0 out of 5 stars","0 out of 5 stars","10.5","-"
"23","Dak Prescott",DAL,"0 out of 5 stars","0 out of 5 stars","216.0","-12"
"20","Daniel Jones",NYG,"0 out of 5 stars","0 out of 5 stars","226.5","+8"
"27","Davis Mills",HOU,"0 out of 5 stars","0 out of 5 stars","201.0","+4"
"10","Derek Carr",LV,"0 out of 5 stars","0 out of 5 stars","276.0","+4"
"29","Deshaun Watson",CLE,"0 out of 5 stars","0 out of 5 stars","177.0","-4"
"35","Desmond Ridder",ATL,"0 out of 5 stars","0 out of 5 stars","76.8","+2"
"38","Drew Lock",SEA,"0 out of 5 stars","0 out of 5 stars","28.5","+1"
"42","Gardner Minshew II",PHI,"0 out of 5 stars","0 out of 5 stars","15.0","-"
"33","Geno Smith",SEA,"0 out of 5 stars","0 out of 5 stars","81.6","+2"
"32","Jacoby Brissett",CLE,"0 out of 5 stars","0 out of 5 stars","156.0","+2"
"4","Jalen Hurts",PHI,"0 out of 5 stars","0 out of 5 stars","304.5","+2"
"19","Jameis Winston",NO,"0 out of 5 stars","0 out of 5 stars","237.0","+2"
"18","Jared Goff",DET,"0 out of 5 stars","0 out of 5 stars","243.0","+9"
"28","Jimmy Garoppolo",SF,"0 out of 5 stars","0 out of 5 stars","184.5","+8"
"7","Joe Burrow",CIN,"0 out of 5 stars","0 out of 5 stars","294.0","0"
"36","Joe Flacco",NYJ,"0 out of 5 stars","0 out of 5 stars","55.5","-"
"52","John Wolford",LAR,"0 out of 5 stars","0 out of 5 stars","9.6","-"
"48","Jordan Love",GB,"0 out of 5 stars","0 out of 5 stars","12.8","-"
"1","Josh Allen",BUF,"0 out of 5 stars","0 out of 5 stars","351.0","0"
"16","Justin Fields",CHI,"0 out of 5 stars","0 out of 5 stars","246.0","+1"
"5","Justin Herbert",LAC,"0 out of 5 stars","0 out of 5 stars","303.0","-2"
"31","Kenny Pickett",PIT,"0 out of 5 stars","0 out of 5 stars","169.6","-5"
"11","Kirk Cousins",MIN,"0 out of 5 stars","0 out of 5 stars","276.0","+4"
"51","Kyle Trask",TB,"0 out of 5 stars","0 out of 5 stars","9.6","-"
"6","Kyler Murray",ARI,"0 out of 5 stars","0 out of 5 stars","300.0","-1"
"3","Lamar Jackson",BAL,"0 out of 5 stars","0 out of 5 stars","310.5","+1"
"24","Mac Jones",NE,"0 out of 5 stars","0 out of 5 stars","214.5","-5"
"37","Malik Willis",TEN,"0 out of 5 stars","0 out of 5 stars","54.4","+1"
"21","Marcus Mariota",ATL,"0 out of 5 stars","0 out of 5 stars","226.5","+11"
"22","Matt Ryan",IND,"0 out of 5 stars","0 out of 5 stars","219.0","0"
"12","Matthew Stafford",LAR,"0 out of 5 stars","0 out of 5 stars","274.5","0"
"34","Mitch Trubisky",PIT,"0 out of 5 stars","0 out of 5 stars","72.0","-1"
"2","Patrick Mahomes II",KC,"0 out of 5 stars","0 out of 5 stars","324.0","0"
"9","Russell Wilson",DEN,"0 out of 5 stars","0 out of 5 stars","277.5","+1"
"25","Ryan Tannehill",TEN,"0 out of 5 stars","0 out of 5 stars","213.0","-5"
"40","Sam Darnold",CAR,"0 out of 5 stars","0 out of 5 stars","18.0","-"
"45","Sam Howell",WAS,"0 out of 5 stars","0 out of 5 stars","14.4","-"
"47","Taylor Heinicke",WAS,"0 out of 5 stars","0 out of 5 stars","12.0","-"
"39","Teddy Bridgewater",MIA,"0 out of 5 stars","0 out of 5 stars","19.5","-"
"8","Tom Brady",TB,"0 out of 5 stars","0 out of 5 stars","285.0","0"
"15","Trevor Lawrence",JAC,"0 out of 5 stars","0 out of 5 stars","255.0","+3"
"14","Tua Tagovailoa",MIA,"0 out of 5 stars","0 out of 5 stars","259.5","+2"
"44","Tyler Huntley",BAL,"0 out of 5 stars","0 out of 5 stars","16.0","-"
"41","Tyrod Taylor",NYG,"0 out of 5 stars","0 out of 5 stars","16.5","-"
"30","Zach Wilson",NYJ,"0 out of 5 stars","0 out of 5 stars","162.0","0"
