"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Jonathan Taylor",IND,"3 out of 5 stars","4 out of 5 stars","300.0","0"
"2","Christian McCaffrey",CAR,"3 out of 5 stars","4 out of 5 stars","300.0","0"
"3","Dalvin Cook",MIN,"3 out of 5 stars","4 out of 5 stars","279.0","+3"
"4","Saquon Barkley",NYG,"3 out of 5 stars","3 out of 5 stars","256.5","+7"
"5","D'Andre Swift",DET,"4 out of 5 stars","4 out of 5 stars","243.0","+4"
"6","Austin Ekeler",LAC,"2 out of 5 stars","2 out of 5 stars","243.0","-3"
"7","Joe Mixon",CIN,"3 out of 5 stars","3 out of 5 stars","237.0","0"
"8","Aaron Jones",GB,"3 out of 5 stars","2 out of 5 stars","234.0","+2"
"9","Derrick Henry",TEN,"4 out of 5 stars","3 out of 5 stars","232.5","-5"
"10","Leonard Fournette",TB,"2 out of 5 stars","2 out of 5 stars","228.0","+2"
"11","Javonte Williams",DEN,"2 out of 5 stars","2 out of 5 stars","226.5","+3"
"12","Najee Harris",PIT,"3 out of 5 stars","3 out of 5 stars","226.5","-7"
"13","Alvin Kamara",NO,"3 out of 5 stars","4 out of 5 stars","214.5","-5"
"14","Nick Chubb",CLE,"3 out of 5 stars","1 out of 5 stars","213.0","-1"
"15","James Conner",ARI,"2 out of 5 stars","4 out of 5 stars","205.5","0"
"16","AJ Dillon",GB,"3 out of 5 stars","2 out of 5 stars","198.0","+10"
"17","Kareem Hunt",CLE,"3 out of 5 stars","1 out of 5 stars","195.0","+14"
"18","Clyde Edwards-Helaire",KC,"3 out of 5 stars","3 out of 5 stars","186.0","+6"
"19","Cordarrelle Patterson",ATL,"2 out of 5 stars","1 out of 5 stars","183.0","+13"
"20","David Montgomery",CHI,"5 out of 5 stars","4 out of 5 stars","180.0","-3"
"21","James Robinson",JAC,"4 out of 5 stars","4 out of 5 stars","178.5","+17"
"22","Travis Etienne Jr.",JAC,"4 out of 5 stars","4 out of 5 stars","188.8","-4"
"23","Josh Jacobs",LV,"2 out of 5 stars","2 out of 5 stars","177.0","-3"
"24","Miles Sanders",PHI,"2 out of 5 stars","2 out of 5 stars","171.0","+9"
"25","Breece Hall",NYJ,"4 out of 5 stars","4 out of 5 stars","177.6","-2"
"26","Ezekiel Elliott",DAL,"4 out of 5 stars","3 out of 5 stars","165.0","-10"
"27","Antonio Gibson",WAS,"4 out of 5 stars","3 out of 5 stars","162.0","-2"
"28","Devin Singletary",BUF,"4 out of 5 stars","3 out of 5 stars","160.5","0"
"29","Tony Pollard",DAL,"4 out of 5 stars","3 out of 5 stars","159.0","+5"
"30","Jeff Wilson Jr.",SF,"2 out of 5 stars","3 out of 5 stars","159.0","+37"
"31","Chase Edmonds",MIA,"4 out of 5 stars","4 out of 5 stars","156.0","+4"
"32","Darrell Henderson Jr.",LAR,"2 out of 5 stars","4 out of 5 stars","156.0","+10"
"33","Rhamondre Stevenson",NE,"4 out of 5 stars","3 out of 5 stars","154.5","+3"
"34","Dameon Pierce",HOU,"3 out of 5 stars","3 out of 5 stars","164.8","-7"
"35","J.K. Dobbins",BAL,"3 out of 5 stars","4 out of 5 stars","151.5","-13"
"36","Michael Carter",NYJ,"4 out of 5 stars","4 out of 5 stars","144.0","+3"
"37","Rashaad Penny",SEA,"3 out of 5 stars","3 out of 5 stars","135.0","-8"
"38","Damien Harris",NE,"4 out of 5 stars","3 out of 5 stars","133.5","-8"
"39","Cam Akers",LAR,"2 out of 5 stars","4 out of 5 stars","127.5","-20"
"40","Melvin Gordon III",DEN,"2 out of 5 stars","2 out of 5 stars","126.0","-3"
"41","Raheem Mostert",MIA,"4 out of 5 stars","4 out of 5 stars","114.0","+3"
"42","Jamaal Williams",DET,"4 out of 5 stars","4 out of 5 stars","112.5","+7"
"43","Brian Robinson Jr.",WAS,"4 out of 5 stars","3 out of 5 stars","118.4","+4"
"44","Khalil Herbert",CHI,"5 out of 5 stars","4 out of 5 stars","109.5","+7"
"45","Nyheim Hines",IND,"3 out of 5 stars","4 out of 5 stars","109.5","0"
"46","Ken Walker III",SEA,"3 out of 5 stars","3 out of 5 stars","108.8","-6"
"47","Elijah Mitchell",SF,"2 out of 5 stars","3 out of 5 stars","100.5","-26"
"48","Alexander Mattison",MIN,"3 out of 5 stars","4 out of 5 stars","96.0","-5"
"49","Kenneth Gainwell",PHI,"2 out of 5 stars","2 out of 5 stars","96.0","-3"
"50","Rachaad White",TB,"2 out of 5 stars","2 out of 5 stars","96.0","+3"
"51","Tyler Allgeier",ATL,"2 out of 5 stars","1 out of 5 stars","96.0","+1"
"52","Isiah Pacheco",KC,"3 out of 5 stars","3 out of 5 stars","89.6","+3"
"53","Tyrion Davis-Price",SF,"2 out of 5 stars","3 out of 5 stars","88.0","+19"
"54","James Cook",BUF,"4 out of 5 stars","3 out of 5 stars","86.4","-13"
"55","Kenyan Drake",BAL,"3 out of 5 stars","4 out of 5 stars","79.5","+5"
"56","Rex Burkhead",HOU,"3 out of 5 stars","3 out of 5 stars","76.5","0"
"57","Darrel Williams",ARI,"2 out of 5 stars","4 out of 5 stars","75.0","+8"
"58","J.D. McKissic",WAS,"4 out of 5 stars","3 out of 5 stars","70.5","-10"
"59","Eno Benjamin",ARI,"2 out of 5 stars","4 out of 5 stars","63.0","+16"
"60","Jerick McKinnon",KC,"3 out of 5 stars","3 out of 5 stars","61.5","+4"
"61","Jaylen Warren",PIT,"3 out of 5 stars","3 out of 5 stars","64.0","+27"
"62","Ameer Abdullah",LV,"2 out of 5 stars","2 out of 5 stars","57.0","+4"
