"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"1","Justin Jefferson",MIN,"2 out of 5 stars","3 out of 5 stars","307.5","+1"
"2","Cooper Kupp",LAR,"3 out of 5 stars","2 out of 5 stars","270.0","-1"
"3","Ja'Marr Chase",CIN,"3 out of 5 stars","1 out of 5 stars","255.0","0"
"4","Stefon Diggs",BUF,"3 out of 5 stars","3 out of 5 stars","252.0","+1"
"5","Davante Adams",LV,"2 out of 5 stars","2 out of 5 stars","247.5","-1"
"6","Amon-Ra St. Brown",DET,"3 out of 5 stars","4 out of 5 stars","240.0","+15"
"7","A.J. Brown",PHI,"4 out of 5 stars","4 out of 5 stars","235.5","+4"
"8","Tyreek Hill",MIA,"2 out of 5 stars","1 out of 5 stars","229.5","-1"
"9","Michael Pittman Jr.",IND,"3 out of 5 stars","3 out of 5 stars","220.5","+4"
"10","Mike Williams",LAC,"3 out of 5 stars","3 out of 5 stars","214.5","+7"
"11","Jaylen Waddle",MIA,"2 out of 5 stars","1 out of 5 stars","214.5","+7"
"12","Deebo Samuel",SF,"3 out of 5 stars","3 out of 5 stars","211.5","-6"
"13","Mike Evans",TB,"4 out of 5 stars","4 out of 5 stars","210.0","-4"
"14","DJ Moore",CAR,"3 out of 5 stars","2 out of 5 stars","207.0","0"
"15","Courtland Sutton",DEN,"5 out of 5 stars","3 out of 5 stars","204.0","+7"
"16","Tee Higgins",CIN,"3 out of 5 stars","1 out of 5 stars","204.0","-4"
"17","Michael Thomas",NO,"4 out of 5 stars","3 out of 5 stars","199.5","+16"
"18","Gabriel Davis",BUF,"3 out of 5 stars","3 out of 5 stars","198.0","+6"
"19","Christian Kirk",JAC,"4 out of 5 stars","4 out of 5 stars","196.5","+20"
"20","Terry McLaurin",WAS,"4 out of 5 stars","3 out of 5 stars","195.0","-5"
"21","Rashod Bateman",BAL,"2 out of 5 stars","3 out of 5 stars","195.0","+15"
"22","CeeDee Lamb",DAL,"3 out of 5 stars","4 out of 5 stars","193.5","-14"
"23","Diontae Johnson",PIT,"4 out of 5 stars","5 out of 5 stars","192.0","-7"
"24","Keenan Allen",LAC,"3 out of 5 stars","3 out of 5 stars","192.0","-14"
"25","Brandin Cooks",HOU,"4 out of 5 stars","4 out of 5 stars","189.0","-5"
"26","Jerry Jeudy",DEN,"5 out of 5 stars","3 out of 5 stars","187.5","+1"
"27","Drake London",ATL,"3 out of 5 stars","4 out of 5 stars","198.4","+15"
"28","Marquise Brown",ARI,"2 out of 5 stars","3 out of 5 stars","183.0","-3"
"29","JuJu Smith-Schuster",KC,"2 out of 5 stars","2 out of 5 stars","181.5","+2"
"30","DK Metcalf",SEA,"4 out of 5 stars","4 out of 5 stars","178.5","-11"
"31","Garrett Wilson",NYJ,"1 out of 5 stars","2 out of 5 stars","190.4","+22"
"32","Allen Robinson II",LAR,"3 out of 5 stars","2 out of 5 stars","177.0","-6"
"33","Elijah Moore",NYJ,"1 out of 5 stars","2 out of 5 stars","175.5","+2"
"34","Darnell Mooney",CHI,"3 out of 5 stars","2 out of 5 stars","175.5","-5"
"35","Allen Lazard",GB,"3 out of 5 stars","4 out of 5 stars","174.0","+8"
"36","Chris Godwin",TB,"4 out of 5 stars","4 out of 5 stars","171.0","-13"
"37","Brandon Aiyuk",SF,"3 out of 5 stars","3 out of 5 stars","171.0","+3"
"38","Adam Thielen",MIN,"2 out of 5 stars","3 out of 5 stars","168.0","-8"
"39","Amari Cooper",CLE,"3 out of 5 stars","4 out of 5 stars","162.0","-11"
"40","Jahan Dotson",WAS,"4 out of 5 stars","3 out of 5 stars","169.6","+22"
