Player,Historic Stats,Injury Probabilities,SeasonInjury,Projected Games Missed,Projected Points
"Josh Allen, QB BUF",6||||||,High Risk,26%,1,406.1
"Lamar Jackson, QB BAL",5|||||,Very Low Risk,9%,0.4,372.2
"Kyler Murray, QB ARI",5|||||,High Risk,26%,1.2,370.1
"Justin Herbert, QB LAC",3|||,Medium Risk,15%,1.4,369.3
"Patrick Mahomes, QB KC",5|||||,Medium Risk,16%,0.9,365.2
"Jalen Hurts, QB PHI",2||,Low Risk,12%,1.1,360.8
"Joe Burrow, QB CIN",9|||||||||,Very High Risk,65%,1.5,346.5
"Russell Wilson, QB DEN",3|||,Low Risk,12%,1.1,346.3
"Tom Brady, QB TB",7|||||||,Very Low Risk,5%,0.6,343.4
"Trey Lance, QB SF",3|||,Very Low Risk,10%,0.8,338.7
"Matthew Stafford, QB LAR",18||||||||||||||||||,Low Risk,12%,1.7,333.7
"Dak Prescott, QB DAL",6||||||,Low Risk,11%,1.2,325.7
"Kirk Cousins, QB MIN",1|,Very Low Risk,5%,0.2,314.7
"Trevor Lawrence, QB JAC",4||||,Very Low Risk,9%,0.5,313.8
"Derek Carr, QB LVR",9|||||||||,High Risk,36%,1.7,312.7
"Tua Tagovailoa, QB MIA",9|||||||||,Very High Risk,73%,2.2,311.4
"Aaron Rodgers, QB GB",10||||||||||,Medium Risk,14%,0.7,306.7
"Justin Fields, QB CHI",6||||||,Low Risk,13%,2.8,305.1
"Ryan Tannehill, QB TEN",4||||,Low Risk,13%,1,289.3
"Daniel Jones, QB NYG",7|||||||,Very High Risk,61%,1.7,287.2
"Carson Wentz, QB WAS",8||||||||,Very High Risk,77%,2.1,278
"Jameis Winston, QB NO",7|||||||,High Risk,29%,0.9,271.6
"Baker Mayfield, QB CAR",8||||||||,Low Risk,12%,0.4,271
"Mac Jones, QB NE",1|,Very Low Risk,11%,1.6,268.1
"Jared Goff, QB DET",4||||,Very High Risk,45%,1.7,259
"Matt Ryan, QB IND",3|||,Very Low Risk,10%,0.6,258.8
"Marcus Mariota, QB ATL",11|||||||||||,High Risk,40%,1.1,258.3
"Zach Wilson, QB NYJ",4||||,Medium Risk,17%,0.5,257.4
"Davis Mills, QB HOU",2||,Low Risk,13%,1.1,244.6
"Geno Smith, QB SEA",4||||,Medium Risk,19%,1.1,214
"Deshaun Watson, QB CLE",6||||||,Medium Risk,17%,1,125.8
"Drew Lock, QB SEA",5|||||,High Risk,24%,0.4,82.2
"Sam Darnold, QB CAR",7|||||||,Very High Risk,43%,1.7,31.6
"Tyrod Taylor, QB NYG",11|||||||||||,High Risk,34%,2.7,30.5
"Andy Dalton, QB NO",6||||||,High Risk,36%,1.3,25.4
"Teddy Bridgewater, QB MIA",9|||||||||,Low Risk,12%,0.4,18
"Jimmy Garoppolo, QB SF",8||||||||,High Risk,22%,0.5,17
"Taylor Heinicke, QB WAS",5|||||,Medium Risk,15%,0.6,16
"Jordan Love, QB GB",2||,Very Low Risk,10%,1.8,7.3
"Christian McCaffrey, RB CAR",6||||||,High Risk,84%,2.2,334.9
"Jonathan Taylor, RB IND",3|||,Medium Risk,61%,1.8,328.3
"Austin Ekeler, RB LAC",10||||||||||,High Risk,85%,3.5,306.7
"Joe Mixon, RB CIN",7|||||||,Very High Risk,88%,2,281.8
"Saquon Barkley, RB NYG",7|||||||,High Risk,82%,2.5,281.2
"Najee Harris, RB PIT",6||||||,Medium Risk,53%,1.7,280.1
"Dalvin Cook, RB MIN",12||||||||||||,Very High Risk,94%,3.6,279.2
"Derrick Henry, RB TEN",4||||,Very High Risk,89%,1.9,269.7
"Alvin Kamara, RB NO",6||||||,Medium Risk,74%,2.7,267
"Leonard Fournette, RB TB",11|||||||||||,High Risk,87%,2.2,265.7
"D'Andre Swift, RB DET",5|||||,Very High Risk,88%,2.7,263.1
"James Conner, RB ARI",10||||||||||,High Risk,83%,2.5,261.7
"Aaron Jones, RB GB",9|||||||||,Very High Risk,87%,3.4,259.7
"Javonte Williams, RB DEN",1|,Low Risk,41%,2.1,247.9
"Nick Chubb, RB CLE",4||||,Medium Risk,60%,0.6,236.2
"Travis Etienne, RB JAC",3|||,High Risk,77%,1.7,233.1
"Ezekiel Elliott, RB DAL",7|||||||,High Risk,82%,2.5,226
"Cam Akers, RB LAR",4||||,Medium Risk,57%,1.2,222.6
"David Montgomery, RB CHI",4||||,Medium Risk,76%,1.5,221
"J.K. Dobbins, RB BAL",3|||,High Risk,79%,2.8,211.7
"Josh Jacobs, RB LVR",7|||||||,Medium Risk,68%,1.8,211.3
"Tony Pollard, RB DAL",1|,Medium Risk,49%,1.2,201.2
"Clyde Edwards-Helaire, RB KC",6||||||,Very High Risk,91%,3.1,196.2
"Cordarrelle Patterson, RB ATL",10||||||||||,Very High Risk,89%,2.6,195.1
"A.J. Dillon, RB GB",5|||||,High Risk,82%,1.9,194
"Antonio Gibson, RB WAS",5|||||,Medium Risk,56%,0.8,189.6
"Chase Edmonds, RB MIA",9|||||||||,Very High Risk,89%,4.1,188.1
"Miles Sanders, RB PHI",9|||||||||,Very High Risk,94%,3.9,181.2
"Kareem Hunt, RB CLE",6||||||,Very Low Risk,20%,0.4,178.5
"Rhamondre Stevenson, RB NE",3|||,Very Low Risk,25%,1.1,173.2
"Devin Singletary, RB BUF",1|,Very High Risk,91%,3.7,166.6
"Rashaad Penny, RB SEA",7|||||||,Medium Risk,66%,2,146.8
"Damien Harris, RB NE",9|||||||||,Very High Risk,88%,3.5,144.8
"Darrell Henderson, RB LAR",8||||||||,Very High Risk,91%,2.6,140.6
"Melvin Gordon, RB DEN",12||||||||||||,Very High Risk,92%,4.5,139.2
"Nyheim Hines, RB IND",3|||,Low Risk,41%,1.7,131.7
"J.D. McKissic, RB WAS",3|||,Very Low Risk,9%,0.5,130.9
"Michael Carter, RB NYJ",3|||,Very Low Risk,19%,0.8,128.7
"Kenneth Gainwell, RB PHI",0.00,Very Low Risk,11%,0.4,127
"Alexander Mattison, RB MIN",3|||,Low Risk,45%,3.4,124.8
