"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"1","Jonathan Taylor",IND,"RB1","3 out of 5 stars","4 out of 5 stars","0"
"2","Christian McCaffrey",CAR,"RB2","3 out of 5 stars","4 out of 5 stars","0"
"3","Dalvin Cook",MIN,"RB3","3 out of 5 stars","4 out of 5 stars","+4"
"4","Justin Jefferson",MIN,"WR1","2 out of 5 stars","3 out of 5 stars","+2"
"5","Cooper Kupp",LAR,"WR2","3 out of 5 stars","2 out of 5 stars","-1"
"6","Saquon Barkley",NYG,"RB4","3 out of 5 stars","3 out of 5 stars","+15"
"7","Ja'Marr Chase",CIN,"WR3","3 out of 5 stars","1 out of 5 stars","+2"
"8","Stefon Diggs",BUF,"WR4","3 out of 5 stars","3 out of 5 stars","+4"
"9","D'Andre Swift",DET,"RB5","4 out of 5 stars","4 out of 5 stars","+6"
"10","Austin Ekeler",LAC,"RB6","2 out of 5 stars","2 out of 5 stars","-7"
"11","Davante Adams",LV,"WR5","2 out of 5 stars","2 out of 5 stars","0"
"12","Travis Kelce",KC,"TE1","3 out of 5 stars","4 out of 5 stars","+2"
"13","Amon-Ra St. Brown",DET,"WR6","3 out of 5 stars","4 out of 5 stars","+48"
"14","Joe Mixon",CIN,"RB7","3 out of 5 stars","3 out of 5 stars","-4"
"15","Aaron Jones",GB,"RB8","3 out of 5 stars","2 out of 5 stars","+2"
"16","A.J. Brown",PHI,"WR7","4 out of 5 stars","4 out of 5 stars","+15"
"17","Tyreek Hill",MIA,"WR8","2 out of 5 stars","1 out of 5 stars","+2"
"18","Derrick Henry",TEN,"RB9","4 out of 5 stars","3 out of 5 stars","-13"
"19","Michael Pittman Jr.",IND,"WR9","3 out of 5 stars","3 out of 5 stars","+14"
"20","Javonte Williams",DEN,"RB10","2 out of 5 stars","2 out of 5 stars","+5"
"21","Leonard Fournette",TB,"RB11","2 out of 5 stars","2 out of 5 stars","+3"
"22","Mark Andrews",BAL,"TE2","1 out of 5 stars","4 out of 5 stars","+1"
"23","Mike Williams",LAC,"WR10","3 out of 5 stars","3 out of 5 stars","+22"
"24","Najee Harris",PIT,"RB12","3 out of 5 stars","3 out of 5 stars","-16"
"25","Jaylen Waddle",MIA,"WR11","2 out of 5 stars","1 out of 5 stars","+21"
"26","Alvin Kamara",NO,"RB13","3 out of 5 stars","4 out of 5 stars","-13"
